Indication ID,Antibiotic ID,Severity Type,Symptoms,Reference ID
I001,A001,Not Specified,"Symptoms of urinary tract infection include pain or burning when urinating, fever, tiredness or shakiness, an urge to urinate often, pressure in the lower abdomen, urine that smells bad or looks cloudy or reddish, and pain in the back or side below the ribs.","R001
R300
"
I002,A001,Not Specified,"Symptoms of urinary tract infection include pain or burning when urinating, fever, tiredness or shakiness, an urge to urinate often, pressure in the lower abdomen, urine that smells bad or looks cloudy or reddish, and pain in the back or side below the ribs.","R001
R300
"
I003,A001,Not Specified,"Symptoms of urinary tract infection include pain or burning when urinating, fever, tiredness or shakiness, an urge to urinate often, pressure in the lower abdomen, urine that smells bad or looks cloudy or reddish, and pain in the back or side below the ribs.","R001
R300
"
I004,A001,Not Specified,"Symptoms of Mycoplasma Pneumonia are often mild and appear over 1 to 3 weeks. They may become more severe in some people. Common symptoms include any of the following: chest pain, chills, cough (usually dry and not bloody), excessive sweating, fever (may be high), headache, and sore throat. Lesson common symptoms include ear pain, soreness, muscle aches and joint stiffness, neck lump, rapid breathing, and rash.","R001
R287"
I005,A001,Not Specified,"Symptoms for Haemophilus Influenzae usually come on quickly, and may include fever and chills, mental status and changes, nausea and vomiting, sensitivity to light, severe headache, and stiff neck. Other symptoms that can onccur include agitation, bulging fontanelles in infants, decreased consciousness, poor feeding and irritability in children, rapid breathing, and unsual posture with the head and neck arched backwards.","R001
R286"
I006,A001,Not Specified,"Symptoms of Streptococcus infection depend on the type and may include a sore, red throat with swollen tonsils and white spots (strep throat), a red rash on the body (scarlet fever), skin infection (impetigo), and in more severe cases blood infections, pneumonia, meningitis, and urinary tract infections.","R001
R313"
I007,A001,Not Specified,"Symptoms of Klebsiella (Respiratory) include sores in the anal area, small beefy-red bumps on the genitals or around the anus that may develop into raised, velvety red nodules (granulation tissue), lesions that bleed easily but are often painless, slow destruction of genital tissue, possible spread to the groin, and loss of skin color around the affected areas.","R001
R312"
I008,A002,Not Specified,"Symptoms of Mycoplasma Pneumonia are often mild and appear over 1 to 3 weeks. They may become more severe in some people. Common symptoms include any of the following: chest pain, chills, cough (usually dry and not bloody), excessive sweating, fever (may be high), headache, and sore throat. Lesson common symptoms include ear pain, soreness, muscle aches and joint stiffness, neck lump, rapid breathing, and rash.","R002
R287"
I009,A002,Not Specified,"Symptoms for Haemophilus Influenzae usually come on quickly, and may include fever and chills, mental status and changes, nausea and vomiting, sensitivity to light, severe headache, and stiff neck. Other symptoms that can onccur include agitation, bulging fontanelles in infants, decreased consciousness, poor feeding and irritability in children, rapid breathing, and unsual posture with the head and neck arched backwards.","R002
R286"
I010,A002,Not Specified,"Symptoms of Streptococcus infection depend on the type and may include a sore, red throat with swollen tonsils and white spots (strep throat), a red rash on the body (scarlet fever), skin infection (impetigo), and in more severe cases blood infections, pneumonia, meningitis, and urinary tract infections.","R002
R313"
I011,A002,Not Specified,"Symptoms of urinary tract infection include pain or burning when urinating, fever, tiredness or shakiness, an urge to urinate often, pressure in the lower abdomen, urine that smells bad or looks cloudy or reddish, and pain in the back or side below the ribs.","R002
R300"
I012,A003,Not Specified,"Symptoms of Pneumonia can range from mild to severe and include fever, chills, cough (usually with phlegm), shortness of breath, chest pain when you breathe or cough, nausea and/or vomiting, and diarrhea.","R003
R219"
I014,A003,Not Specified,"Symptoms of acute bronchitis include chest discomfort, a cough that produces mucus (which may be clear or yellow-green), fatigue, low-grade fever, shortness of breath that worsens with activity, and wheezing in people with asthma. After the infection clears, a dry, nagging cough may persist for 1 to 4 weeks.","R003
R303"
I015,A003,Not Specified,"Symptoms of Bronchiectasis include a long-term (chronic) cough with large amounts of foul-smelling sputum, along with breath odor, coughing up blood (less common in children), fatigue, paleness, shortness of breath that worsens with exercise, weight loss, wheezing, low-grade fever, night sweats, and, in rare cases, clubbing of the fingers depending on the underlying cause.","R003
R288"
I016,A003,Not Specified,"Symptoms of Pharyngitis is sore throat. Other symptoms may include fever, headache, joint pain and muscle aches, skin rashes, and swollen lymph nodes (glands) in the neck.","R003
R222"
I017,A003,Not Specified,"Symptoms of Psittacosis include a 5 to 15 day incubation period followed by symptoms such as blood-tinged sputum, dry cough, fatigue, fever and chills, headache, joint aches, muscle aches (most often in the head and neck), shortness of breath, diarrhea, swelling in the back of the throat (pharyngitis), inflammation of the liver, and confusion.","R003
R289"
I018,A003,Not Specified,"Symptoms of Mycoplasma Pneumonia are often mild and appear over 1 to 3 weeks. They may become more severe in some people. Common symptoms include any of the following: chest pain, chills, cough (usually dry and not bloody), excessive sweating, fever (may be high), headache, and sore throat. Lesson common symptoms include ear pain, soreness, muscle aches and joint stiffness, neck lump, rapid breathing, and rash.","R003
R287"
I019,A003,Not Specified,"Symptoms of urethritis in men include blood in the urine or semen, burning pain while urinating (dysuria), discharge from the penis, fever (rare), frequent or urgent urination, itching, tenderness or swelling in the penis, enlarged lymph nodes in the groin area, and pain during intercourse or ejaculation. In women, symptoms may include abdominal pain, burning pain while urinating, fever and chills, frequent or urgent urination, pelvic pain, pain during intercourse, and vaginal discharge.","R003
R290"
I020,A003,Not Specified,"Symptoms of Cystitis include cloudy or bloody urine, strong or foul-smelling urine, low fever (most people will not have a fever), pain or burning with urination, pressure or cramping in the lower middle abdomen or back, and strong need to urinate often, even right after the bladder has been emptied. ","R003
R291"
I021,A003,Not Specified,"Symptoms of Pyelonephritis include cloudy or bloody urine which may have a fould or strong odor, low grade fever in some people, pain or burning with urination, pressure or cramping in the lower abdomen or back, and strong need to urinate often even right after the bladd has been emptied. If the infection spread to your kidneys, symptoms may include chills and shaking, fatigue and generally ill feeling, fever above 38.3°C, pain (side, back, or groin), flushed, warmed, or reddened skin, confusion, nausea and vomiting, and sometime severe abdominal pain.","R003
R292"
I022,A003,Not Specified,"Symptoms of interstitial nephritis may range from mild to severe kidney problems, including acute kidney failure, and in about half of cases may involve decreased urine output and other signs of kidney failure; these symptoms include blood in the urine, fever, increased or decreased urine output, mental status changes (such as drowsiness, confusion, or coma), nausea and vomiting, rash, swelling in any area of the body, and weight gain due to fluid retention.","R003
R217"
