seID,antibioticID,seName,duration,occurrencePattern,description,referenceID,validatorID
SE001,A025,Diarrhea,Not specified,Not specified,Loose or watery stools; may resolve after stopping medication.,"R022
R023",
SE002,A025,Nausea,1-3 days,Early during treatment,Feeling of sickness or upset stomach.,"R022
R023",
SE003,A025,Stomach Pain,1-3 days,Early during treatment,Discomfort or pain in the lower abdomen.,"R022
R023",
SE004,A025,Headache,1-3 days,During treatment,Mild to moderate pain in the head.,"R022
R023",
SE005,A025,Dizziness,1-3 days,During treatment,Feeling lightheaded or unsteady.,"R022
R023",
SE006,A025,Vaginal Discharge / Itching,1-3 days,During or after treatment,"Itching, irritation, or unusual discharge.","R022
R023",
SE007,A025,Back Pain,1-3 days,During treatment,Mild discomfort in lower back.,"R022
R023",
SE008,A025,Menstrual Pain,1-3 days,During treatment,Increased cramps or discomfort during menstruation.,"R022
R023",
SE009,A025,Sore Throat / Stuffy Nose,1-3 days,During treatment,Mild throat irritation or nasal congestion.,"R022
R023",
SE010,A025,Rash,1-3 days ,During treatment,Mild skin redness or irritation.,"R022
R023",
SE011,A026,Diarrhea,1-3 days,"Common, early during treatment","Loose or watery stools, usually mild and temporary.",R024,
SE012,A026,Nausea,1-2 days,"Common, may occur shortly after taking",Feeling of queasiness or stomach upset.,R024,
SE013,A026 ,Vaginitis,Several days,Occasionally,"Irritation or infection of the vagina, may cause itching or discharge.",R024,
SE014,A026,Headache,1-2 days,Occasionally,Mild to moderate pain.,R024,
SE015,A026,Dizziness,Few hours to 1 day,"Rare, may occur during treatment",Feeling lightheaded or unsteady.,R024,
SE016,A026,Asthenia,1-2 days,Rare,Generally feeling of weakness or lack of energy.,R024,
SE017,A026,Dyspepsia,1-2 days,Rare,"Upset stomach, indigestion, or discomfort in the upper abdomen.",R024,
SE018,A026,Abdominal Pain,1-2 days,Rare,Mild stomach cramps or discomfort.,R024,
SE019,A026,Rash,1-3 days ,Rare,"Skin redness, irrittation, or small bumps.",R024,
SE020,A026,Back Pain,1-2 days,Rare,Mild discomfort in lower back.,R024,
SE021,A026,Dysmenorrhea,1-2 days,Rare ,Mild mentrual cramps in female patients.,R024,
SE022,A026,Pharyngitis,1-3 days,Rare,Sore throat or mild irritation in the throat.,R024,
SE023,A026,Vestibular Loss,Variable,"Very rare, overdose-related","Loss of balance or issues with inner ear, may occur in overdose situations.",R024,
SE024,A026,Impaired Hearing,Variable,"Very rare, overdose-related",Temporary hearing problems reported in overdose cases.,R024,
SE025,A026,Metallic Taste,Few hours,"Very rare, overdose-related",Altered or metallic taste in the mouth.,R024,
SE026,A026,Taste Changes,Few hours,"Very rare, overdose-related",General change or decline in taste perception.,R024,
SE027,A027,Nausea,Short-term; during treatment,May occur during or shortly after infusion,Feeling sick to the stomach. Usually mild to temporary.,R026,
SE028,A027,Vomiting,Short-term,May happen during treatment,Throwing up after receiving the medicine.,R026,
SE029,A027,Diarrhea,During treatment or even weeks after,Can occur anytome while using or after stopping the drug,Loose or water stools. Severe cases may indicate C. difficile infection.,R026,
SE030,A027,Headache,Temporary,May appear during therapy,Mild to moderate head pain.,R026,
SE031,A027,Injection Site Reaction,Short-term,At or shortly after IV administration,"Pain, redness, or swelling at the injection site.",R026,
SE032,A027,Rash,Temporary,Can occur during treatment,Skin redness or itching due to allergic reaction.,R026,
SE033,A027,Hypersensitivity Reaction,Immediate or shortly after dose,Rare but serious,"Severe allergic reaction such as swelling, breathing difficulty, or hives. Needs urgent care.",R026,
SE034,A027,Hypokalemia ,During prolonged or high-dose use,More common in long-term therapy,"Low potassium levels which may cause weakness, muscle cramps, or irregular heartbeat.",R026,
SE035,A027,Elevated Liver Enzymes,During treatment,Usually detected in lab tests,Mild increase in liver enzymes seen in blood tests. Often reversible.,R026,
SE036,A027,Sodium Overload,During treatment,More likely in high doses,High sodium levels that may worsen heart failure or high blood pressure.,R026,
SE037,A012,Nausea,Not Specified,Common,Effects are usually mild. Sensation of having to vomit or having the urge to vomit.,"R037
R056",
SE038,A012,Vomiting,Not Specified,Common,Effects are usually mild. Forceful ejection stomach contents through the mouth.,"R037
R057",
SE039,A012,Diarrhea,Not Specified,Common,"Effects are usually mild. Loose, watery stools during a bowl movement","R037
R076",
SE040,A012,Abdominal Pain,Not Specified,Common,Effects are usually mild; pain felt anywhere between the chest and groin.,"R037
R058",
SE041,A012,Headache,Not Specified,Rare,Discomfort in the head or face,R037,
SE043,A012,Palpitations,Not Specified,Not Specified,"Minor side effect; feeling like your heart is missing heartbeats, racing or pounding felt in chest, throat or neck.","R037
R059",
SE044,A012,Chest pain,Not Specified,Not Specified,Minor side effect; Pain felt between neck and belly,R037,
SE045,A012,Dyspepsia,Not Specified,Not Specified,Minor side effect; pain or discomfort in the upper abdomen,R037,
SE046,A012,Flatulence,Not Specified,Not Specified,Minor side effect; body releases gas in your digestive system through your anus.,R037,
SE047,A012,Melena,Not Specified,Not Specified,"Minor side effect; black, tarry stool caused by internal bleeding","R037
R060",
