Stewardship ID,Antibiotic ID,"Principle Type (Therapeutic Use & Monitoring, Administration & Adherence, Food & Timing, Storage)",Principle Description,Reference ID
SP001,A001,Food & Timing,Should be taken with food: Take w/ meals to avoid GI irritation.,R001
SP002,A001,Administration & Adherence,Drink plenty of fluids to reduce risk of esophageal irritation & ulceration.,R001
SP003,A001,Storage,Store at temperatures not exceeding 30°C.,R001
SP004,A002,Food & Timing,May be taken with or without food.,R002
SP005,A002,Storage ,Store at temperatures not exceeding 30°C.,R002
SP006,A002,Administration & Adherence,"All patients taking doxycycline should be advised: to avoid excessive sunlight or artificial ultraviolet light while receiving doxycycline and to discontinue therapy if phototoxicity (e.g., skin eruption, etc.) occurs. Sunscreen or sunblock should be considered.",R002
SP007,A003,Administration & Adherence,"Doxycycline (Dynadoxy) 100 mg capsule, usual adult dose: 2 capsules or 200 mg on first day in single or divided doses of 1 capsule every 12 hours; then 1 capsule a day thereafter. For severe infections: 1 capsule every 12 hours. Or as prescribed by the physician.",R003
SP008,A003,Administration & Adherence,"For acute gonococcal infections: 200 mg at once and 100 mg at bedtime on the first day, followed by 100 mg twice a day for three days.",R003
SP009,A003,Administration & Adherence,"As an alternative single visit dose, administer 300 mg at once followed in one hour by a second 300 mg dose.",R003
SP010,A003,Food & Timing,"The dose may be administered with food, including milk or carbonated beverage as required.",R003
SP011,A003,Administration & Adherence,Primary and secondary syphilis: 300 mg a day in divided doses for at least 10 days. Treatment should be continued even after the time that symptoms and fever have subsided.,R003
SP012,A003,Administration & Adherence,"When used in streptococcal infections, therapy should be continued for 10 days. If gastric irritation occurs, it is recommended that Doxycycline be given with food or milk.",R003
SP013,A003,Storage,Store at temperatures not exceeding 30°C. Protect from light.,R003
SP014,A003,Food & Timing,May be taken with or without food.,R003
SP015,A003,Administration & Adherence,Take w/ a full glass of water & remain upright for at least 30 min. Take w/ food or milk if GI irritation occurs.,R003
SP016,A004,Administration & Adherence,Patients receiving oral or intravenous (IV) levofloxacin should be well hydrated to prevent formation of highly concentrated urine. Crystalluria and cylindruria have been reported with quinolones.,R004
SP017,A004,Administration & Adherence,Levofloxacin should be given or taken at the same time each day.,R004
SP018,A004,Food & Timing,"Levofloxacin tablet can be taken with or without food. Administer dose at least 2 hours before or 2 hours after antacids containing calcium, magnesium or aluminum, after sucralfate or metal cations such as iron, multivitamin preparations with zinc, or didanosine.",R004
SP019,A004,Administration & Adherence,"Levofloxacin solution for infusion should only be administered by IV infusion. It is NOT for intramuscular, intrathecal, intraperitoneal, or subcutaneous administration.",R004
SP020,A004,Administration & Adherence,Rapid or bolus IV infusion must be avoided because it may result to hypotension.,R004
SP021,A004,Administration & Adherence,"As with other parenteral antibiotic therapy in general, administration of levofloxacin solution for infusion should be continued for a minimum of 48 to 72 hours after the patient has become afebrile or evidence of bacterial eradication has been obtained.",R004
SP022,A004,Administration & Adherence,"It is usually possible to switch from initial IV treatment to the oral route after a few days, depending on the patient's condition and the physician's discretion.",R004
SP023,A004,Administration & Adherence,Observe strict aseptic technique when inserting the cannula of the infusion set into the spout of levofloxacin solution for infusion.,R004
SP024,A004,Administration & Adherence,The cannula of the infusion set should be inserted fully and not halfway into the spout of the levofloxacin solution for infusion container to avoid leakage.,R004
SP025,A004,Administration & Adherence,"If the same IV line is used for sequential infusion of several different drugs, the line should be flushed before and after infusion of levofloxacin IV with an infusion solution compatible with levofloxacin IV and with any other drugs administered via this common line.",R004
SP026,A004,Storage,Store at temperatures not exceeding 30°C. Protect from light and moisture.,R004
SP027,A005,Administration & Adherence,Levofloxacin (Levocin) tablets are administered once or twice daily.,R005
SP028,A005,Administration & Adherence,Levofloxacin (Levocin) should be swallowed without crushing and with sufficient amount of liquid.,R005
SP029,A005,Food & Timing,The tablets may be taken during meals or between meals.,R005
SP030,A005,Food & Timing,"Levofloxacin (Levocin) tablets should be administered at least two hours before or two hours after antacids containing magnesium, aluminum, as well as sucralfate, metal cations such as iron, and multivitamin preparations with zinc.",R005
SP031,A005,Administration & Adherence,Rapid or bolus intravenous infusion must be avoided.,R005
SP032,A005,Administration & Adherence,Administered by slow infusion over 60 minutes every 24 hours or 750 mg administered by slow infusion over 90 minutes every 24 hours.,R005
SP033,A005,Administration & Adherence,"Levofloxacin (Levocin) I.V. Infusion should not be mixed with heparin or alkaline solutions (e.g., sodium hydrogen carbonate).",R005
SP034,A005,Administration & Adherence,"Swallow whole, do not crush.",R005
SP035,A005,Storage,Store at temperatures not exceeding 30°C.,R005
SP036,A005,Storage,"If Film-coated Tablet, protect from sunlight and moisture.",R005
SP037,A005,Storage,"If IV Infusion, do not refrigerate.",R005
SP038,A005,Storage,Protect from light.,R005
SP039,A005,Storage,Keep in the pack until required.,R005
SP040,A005,Storage,"Once the vial is removed from the carton, the infusion solution must be used within three days.",R005
SP041,A005,Storage,"Once the vial has been opened, the infusion solution must be used within three hours.",R005
SP042,A006,Storage,Store at temperatures not exceeding 30°C.,R006
SP043,A006,Administration & Adherence,Dosage is according to doctor's instructions only.,R006
SP044,A006,Administration & Adherence,Do not exceed the recommended dosage.,R006
SP045,A006,Administration & Adherence,Do not chew. Swallow the medicine with a glass of water.,R006
SP046,A006,Food & Timing,"May be taken with or without food: Take w/ or between meals. Swallow w/ a glass of water, do not chew.",R006
SP047,A006,Administration & Adherence,"Missed Dose: If the patient misses a dose of this medicine, take it as soon as remembered. However, if it is almost time for the next dose, skip the missed dose and go back to the regular dosing schedule. Do not double doses.",R006
SP048,A007,Storage,Store at temperatures not exceeding 30°C. Protect from light.,R007
SP049,A007,Administration & Adherence,Cefotaxime is given as the sodium salt by deep intramuscular (IM) injection or intravenously (IV) by slow injection over 3 to 5 minutes or by infusion over 20 to 60 minutes.,R007
SP050,A007,Administration & Adherence,Cefotaxime sodium has been reported to be incompatible with alkaline solutions such as sodium bicarbonate.,R007
SP051,A007,Administration & Adherence,The manufacturers recommend that it should be administered separately from aminoglycosides.,R007
SP052,A008,Food & Timing,May be taken with or without food. May be taken w/ meals to reduce GI discomfort.,R008
SP053,A008,Storage,Store at temperatures not exceeding 30°C. Protect from light.,R008
SP054,A009,Food & Timing,"May be taken with or without food: Swallow whole, do not chew or crush.",R009
SP055,A009,Storage,Store at temperatures not exceeding 30°C.,R009
SP056,A009,Administration & Adherence,Azithromycin should be swallowed whole with liquid as a single daily dose.,R009
SP057,A010,Food & Timing,May be taken with or without food: May be taken w/ meals to reduce GI discomfort.,R010
SP058,A010,Storage,Store at temperatures not exceeding 30°C. Protect from light.,R010
SP059,A010,Administration & Adherence,Azithromycin suspension/tablets are for oral administration and should be administered as a single daily dose. The period of dosing with regard to infection is given as follows.,R010
SP060,A011,Food & Timing,May be taken with or without food: May be taken w/ meals to reduce GI discomfort.,R011
SP061,A011,Storage,Store at temperatures not exceeding 25°C.,R011
SP062,A011,Storage,"The reconstituted Amoxil 100 mg/mL oral drops, 125 mg/5 mL powder for oral suspension and Amoxil Forte 250 mg/5 mL powder for oral suspension will retain its potency for 7 days when stored at refrigerated temperatures (between 2-8°C).",R011
SP063,A012,Food & Timing,May be taken with or without food: May be taken w/ meals for better absorption & to reduce GI discomfort.,R012
SP064,A012,Storage,Store at temperatures not exceeding 30°C. Protect from light.,R012
SP065,A013,Food & Timing,May be taken with or without food: May be taken w/o regard to meals.,R013
SP066,A013,Storage,Store at temperatures not exceeding 30°C. Protect from light.,R013
SP067,A014,Food & Timing,May be taken with or without food: May be taken w/ milk.,R014
SP068,A014,Storage,Store at temperatures not exceeding 30°C.,R014
SP069,A014,Administration & Adherence,"To make a 35 mL suspension, add 25 mL of water to the granules in the bottle.",R014
SP070,A014,Administration & Adherence,"To make a 70 mL suspension, add 51 mL of water to the granules in the bottle.",R014
SP071,A014,Administration & Adherence,Shake well until the contents are evenly suspended.,R014
SP072,A014,Storage,The reconstituted suspension can be used up to 14 days when stored at temperatures not exceeding 30°C.,R014
SP073,A014,Storage,"After mixing, store at temperatures not exceeding 30°C.",R014
SP074,A014,Administration & Adherence,Shake well before each use.,R014
SP075,A014,Storage,Keep tightly closed.,R014
SP076,A014,Storage,Do not refrigerate.,R014
SP077,A015,Food & Timing,May be taken with or without food.,R015
SP078,A015,Storage,Store at temperatures not exceeding 30°C.,R015
SP079,A015,Storage,Shelf life: 36 months.,R015
SP080,A015,Food & Timing,Clarithromycin may be given without regard to meals as food does not affect the extent of bioavailability.,R015
SP081,A015,Administration & Adherence,Administered orally.,R015
SP082,A016,Food & Timing,May be taken with or without food.,R016
SP083,A016,Storage,Store at temperatures not exceeding 30°C. Protect from light.,R016
SP084,A016,Storage,Store at temperatures not exceeding 25°C. Reconstituted suspension should be used within 14 days if stored between 15°C to 25°C. Protect from moisture.,R016
SP085,A016,Food & Timing,"Clarithromycin granules (clarithromycin for oral suspension, USP) may be given with or without food.",R016
SP086,A016,Administration & Adherence,Add half volume of water to the bottle and shake vigorously.,R016
SP087,A016,Administration & Adherence,Add the remainder of water to the bottle and shake.,R016
SP088,A016,Administration & Adherence,Shake well before each use.,R016
SP089,A016,Storage,Keep tightly closed.,R016
SP090,A016,Storage,Do not refrigerate.,R016
SP091,A016,Food & Timing,Clarithromycin tablets and oral suspension can be taken with or without food and can be taken with milk.,R016
SP092,A017,Storage,This medicinal product does not require any special storage conditions.,R017
SP093,A017,Storage,Single use only.,R017
SP094,A017,Storage,Store at temperatures not exceeding 30°C.,R017
SP095,A017,Administration & Adherence,Fosfomycin trometamol is administrated as oral solution.,R017
SP096,A017,Administration & Adherence,"The contents of each sachet, of fosfomycin should be dissolved in half a glass of water (at least 50 mL) and drink it immediately preferably before the night resting, after voiding the bladder.",R017
SP097,A017,Food & Timing,"Should be taken on an empty stomach: Dissolve in 1⁄2 glass of water (at least 50 mL) & drink it immediately preferably prior the night resting, after voiding bladder.",R017
SP098,A017,Food & Timing,Take 1 hr prior to or 2 hr after food ingestion.,R017
SP099,A018,Storage,Store at temperatures not exceeding 30°C.,R018
SP100,A018,Food & Timing,Should be taken on an empty stomach.,R018
SP101,A018,Administration & Adherence,"Take on an empty stomach or about 2-3 hr after meals, preferably before bedtime & after emptying the bladder.",R018
SP102,A018,Administration & Adherence,Dissolve in a glass of water (50-75 mL) or in favorite non-alcoholic drink & consume soon after dissolving.,R018
SP103,A019,Administration & Adherence,Should be taken on an empty stomach.,R019
SP104,A019,Food & Timing,Take 2-3 hr apart from meals.,R019
SP105,A020,Storage,Store at temperatures not exceeding 30°C.,R020
SP106,A020,Food & Timing,Should be taken with food.,R020
SP107,A020,Administration & Adherence,800/160 mg Tablet: One (1) tablet every 12 hours after meals.,R020
SP108,A020,Administration & Adherence,400 mg/80 mg capsule: one (1) to two (2) capsule every 12 hours after meals or as prescribed by the physician.,R020
SP109,A021,Food & Timing,May be taken with or without food.,R021
SP110,A021,Storage,Store at temperatures not exceeding 25°C.,R021
SP111,A021,Storage,Protect from moisture and light.,R021
SP112,A022,Food & Timing,Should be taken with food. Take w/ meals for optimum absorption.,R022
SP113,A022,Storage,Store at temperature not exceeding 30°C. Protect from light.,R022
SP114,A023,Food & Timing,Should be taken with food.,R023
SP115,A023,Storage,Store at temperature not exceeding 30°C.,R023
SP116,A024,Food & Timing,May be taken with or without food: Preferably taken 2 hr after meals.,R024
SP117,A024,Storage,Store at temperature not exceeding 30°C.,R024
SP118,A024,Storage,Protect from light.,R024
SP119,A025,Storage,Store at temperature not exceeding 30°C.,R025
SP120,A025,Storage,"Store in a cool, dry place.",R025
SP121,A025,Food & Timing,May be taken with or without food: May be taken w/ meals to minimize GI discomfort.,R025
SP122,A025,Food & Timing,"Do not take w/ antacids, Fe or dairy products.",R025
SP123,A026,Food & Timing,May be taken with or without food: May be taken w/ meals to minimize GI discomfort.,R026
SP124,A026,Food & Timing,"Do not take w/ antacids, Fe or dairy products.",R026
SP125,A026,Storage,Store at temperature not exceeding 25°C.,R026
SP126,A026,Storage,Protect from direct light including sunlamps.,R026
SP127,A027,Food & Timing,May be taken with or without food: May be given w/o regard to meals.,R027
SP128,A027,Storage,Store at temperature not exceeding 30°C. Protect from light.,R027
SP129,A028,Food & Timing,May be taken with or without food: May be taken w/ food or milk to reduce GI discomfort.,R028
SP130,A029,Food & Timing,May be taken with or without food.,R029
SP131,A029,Storage,Store at temperature not exceeding 30°C.,R029
SP132,A030,Food & Timing,Should be taken with food.,R030
SP133,A030,Storage,Store at temperature not exceeding 30°C.,R030
