SideEffect ID,Antibiotic ID,SE Name,Pattern,SE Description ,Reference ID
SE001,A001,Anorexia,Not Specified,"Anorexia is an eating disorder that causes people to weigh less than is considered healthy for their age and height, usually by excessive weight loss.","R001
R132"
SE002,A001,Nausea,Not Specified,"Nausea is when you feel sick to your stomach, as if you are going to throw up.","R001
R133"
SE003,A001,Vomiting,Not Specified,Vomiting is when you throw up.,"R001
R133"
SE004,A001,Diarrhea,Infrequent,"Diarrhea is loose, watery stools (bowel movements).","R001
R134"
SE005,A001,Glossitis,Not Specified,Glossitis is a problem in which the tongue is swollen and inflammed. This often makes the surface of the tongue appear smooth.,"R001
R135"
SE006,A001,Dysphagia,Not Specified,"Dysphagia is a term that means difficulty swallowing. Usually, when you swallow, food moves easily from your mouth, down your throat, and into your stomach.","R001
R136"
SE007,A001,Esophagitis,Rare,"Esophagitis is a condition in which the lining of the esophagus becomes swollen, inflamed, or irritated. The esophagus is the tube that leads from your mouth to the stomach.","R001
R137"
SE008,A001,Maculopapular Rashes,Not Specified,Maculopapular rash is a flat red rash.,"R001
R138"
SE009,A001,Exfoliative Dermatitis,Uncommon,"Erythroderma is one alternative name of Exfoliative dermatitis. It is widespread readness of the skin. It also accompanied by scaling, peeling, and flaking of the skin, and may include utching and hair loss.","R001
R139"
SE010,A001,Rise in BUN,Not Specified,"A BUN, or blood urea nitrogen test, measures the amount of urea nitrogen in your blood. Urea nitrogen is a waste product that forms as your body breaks down proteins. It's carried in your blood and then removed by your kidneys when you urinate (pee).","R001
R140"
SE011,A001,Urticaria,Not Specified,Urticaria is also called as Hives. It is a red and sometimes itchy bumps on your skin.,"R001
R141"
SE012,A001,Angioneurotic Edema,Not Specified,"Angioneurotic Edema's alternative name is Angioedema. It is swelling that is similar to hives, but the swelling is under the skin instead of on the surface. ","R001
R142"
SE013,A001,Anaphylaxis,Not Specified,"Anaphylaxis is a serious allergic reaction. It can began very quickly, and symptoms may be life-threatening. ","R001
R143"
SE014,A001,Serum Sickness,Not Specified,"Serum sickness is a reaction that is similar to an allergy. The immune reacts to medicines that contain proteins used to treat immune conditions. It can also react to antiserum, the liquid part of blood that contains antibodies given to a person to help protect them against germs or poisonous substances.","R001
R144"
SE015,A001,Pericarditis,Not Specified,Pericarditis is a condition in which the sac-like covering around the heart (pericardium) becomes inflamed.,"R001
R145"
SE016,A001,Exacerbation of Systemic Lupus Erythematosus,Not Specified,"Systemic Lupus Erythematosus is a chronic disease that causes inflammation in connective tissues, such as cartilage and the lining of blood vessels, which provide strength and flexibility to structures throughout the body.","R001
R146"
SE017,A001,Hemolytic Anemia,Not Specified,Hemolytic anemia is a condition in which the body does not have enough healthy red blood cells. Red blood cells provide oxygen to body tissues.,"R001
R147"
SE018,A001,Thrombocytopenia,Not Specified,Thrombocytopenia means there is an abnormally low amount of platelets. Platelets are parts of the blood that help blood to clot. This condition is sometimes associated with abnormal bleeding.,"R001
R149"
SE019,A001,Neutropenia,Not Specified,"Neutropenia is a condition that increases the risk of repeated infections in affected individuals. People with this condition have an abnormally low level (deficiency) of neutrophils, a type of white blood cell that plays a role in inflammation and in fighting infection.","R001
R150"
SE020,A001,Eosinophilia,Not Specified,Eosinophils are a type of white blood cell. They help fight off infections and play a role in your body's immune response. They can also build up and cause inflammation.,"R001
R151"
SE021,A002,Diarrhea ,Infrequent,"Diarrhea is loose, watery stools (bowel movements).","R002
R134"
SE022,A002,Anorexia,Not Specified,"Anorexia is an eating disorder that causes people to weigh less than is considered healthy for their age and height, usually by excessive weight loss.","R002
R132"
SE023,A002,Nausea,Not Specified,"Nausea is when you feel sick to your stomach, as if you are going to throw up.","R002
R133"
SE024,A002,Vomiting,Not Specified,Vomiting is when you throw up.,"R002
R133"
SE025,A002,Glossitis,Not Specified,Glossitis is a problem in which the tongue is swollen and inflammed. This often makes the surface of the tongue appear smooth.,"R002
R135"
SE026,A002,Dysphagia,Not Specified,"Dysphagia is a term that means difficulty swallowing. Usually, when you swallow, food moves easily from your mouth, down your throat, and into your stomach.","R002
R136"
SE027,A002,Pancreatitis,Not Specified,Pancreatitis is inflammation of the pancreas. It happens when digestive enzymes start digesting the pancreas itself. Pancreatitis can be acute or chronic. Either form is serious and can lead to complications.,"R002
R152"
SE028,A002,Superficial Discoloration of Adult Permanent Dentition,Not Specified,Reversible upon drug discontinuation and professional dental cleaning has been reported.,R002
SE029,A002,Permanent Tooth Discoloration,Not Specified,May occur with drugs of the tetracycline class when used during tooth development.,R002
SE030,A002,Enamel Hypoplasia,Not Specified,May occur with drugs of the tetracycline class when used during tooth development.,R002
