,Question,Focus (Drug),Question Type
0,how does rivatigmine and otc sleep medicine interact,rivastigmine,Interaction
2,what is morphine,morphine,Information
5,what is desonide ointment used for,desonide ointment,Indication
6,how soon can tylenol be taken after a cocktail?,Tylenol,Interaction
8,breo inhaler how it works,Breo inhaler,Usage
9,qvar 40mg what is it for,Qvar,Indication
10,does cyclosporine ophthalmic helps for iritis?,cyclosporine,Indication
11,what ingredient in walnut interferes with synthroid drug absorption,Synthroid,Interaction
12,what is the color of the fluvaastatin pill,fluvastatin,Appearance
15,how long before a meal should lansoprazole be taken,Lansoprazole,Usage
16,what does using fluorouracil make your face look like,fluorouracil,Side effects
17,why did my doctor give me level iracetam,Levetiracetam,Indication
18,results of stopping terazosin?,terazosin,Usage
19,what meloxicam look like,meloxicam,Appearance
20,nitroglycerin how often,nitroglycerin,Usage
21,whate is vitamin c chemicl symple ?,vitamin C,Information
24,neupro and ropinirole when is it safe to take,neupro and ropinirole,Interaction
26,what is prevnar >65,prevnar,Information
27,how many mg does it take to overdose on oxycodone,oxycodone,Overdose
28,what medication not to take with lithium,lithium,Interaction
29,mst drug/?,MST,Information
33,"what is the imprint on metoprolol succ., 50 mg",metoprolol succinate,Appearance
35,how to administer denosumab,denosumab,Usage
36,what is barbiturates,barbiturates,Information
38,how to prep and administer insulin,insulin,Usage
39,what is medical marijuana,medical marijuana,Information
41,levaquin treat uti?,Levaquin,Indication
43,sickness in humans caused formaldehyde on toys from china?,formaldehyde,Side effects
44,is cyclobenzaprine a benzodiazepine?,cyclobenzaprine | benzodiazepine,Information
47,can i eat after taking rapaflo?,Rapaflo,Usage
51,vyvanse 10 what is all in this pill is it safe,Vyvanse,Side effects
54,what is the class for insulin glargine?,insulin glargine,Information
56,what is metopol tar use,metoprolol tartrate,Indication
57,"does corticosteroids cause i ""insomnia?""",corticosteroids,Side effects
58,how reduce cholesterol,drugs that reduce cholesterol,Indication
59,"when is gardasil ""contra indicated?""",Gardasil,Contraindication
60,what is the classification of cromolyn,cromolyn,Information
61,"i take lorazepam, my eyes are blurry, if i stop taking it, will my eyes clear up ?",lorazepam,Side effects
62,how to use thymol,thymol,Usage
63,is zolpidem a drug?,zolpidem,Information
64,mercaptopurine can be the cause of elevated bun/ creatinine level?,mercaptopurine,Side effects
65,when does skin redness start on fluorouracil,fluorouracil,Side effects
67,what tier drug is methylphenidate,methylphenidate,Information
68,what is normal saline,normal saline,Information
69,what is zostavax for?- consider waiting for a new vaccine coming spring of 2018,Zostavax,Indication
70,what is ciprodex?,Ciprodex,Information
72,why codeine,codeine,Indication
73,how to give toradol im,Toradol IM,Usage
75,can you take these tow medications at the same time of day concerta and lexapro?,Concerta and Lexapro,Interaction
77,what happened if one takes a double does of simvastatin,Simvastatin,Overdose
78,what is antibiotic?,Antibiotics,Information
79,what kind of rash could pravastatin cause,pravastatin,Side effects
80,what is ketorolac eye drops,ketorolac eye drops,Information
81,how to take your medicine diabetes,diabetes medicine,Usage
83,what type of drug is ecstasy,ecstasy,Information
84,what are the side effects of valsartan,valsartan,Side effects
85,keflex capsules how supplied,Keflex,Information
86,what is nano silver?,nanosilver,Information
87,why to take vicodin,Vicodin,Indication
88,how is cocaine and amphetamine used,cocaine,Usage
89,how is cocaine and amphetamine used,amphetamine,Usage
96,what three trade names were gven inthis chapter for this generic drug about hydrochlorothiazide,hydrochlorothiazide,Brand names
98,"is it safe to add peppermint essential oil in ""mouth wash?""",peppermint oil,Side effects
101,what type of drug is marijuana,marijuana,Information
103,what does the clotrimazole pill look like,Clotrimazole,Appearance
104,how long do opioid withdraws last,opioids,Information
105,is herceptin chemo.a drug?,Herceptin,Information
107,what is magnesium chelated good for,Chelated magnesium,Indication
115,"what color are the pills for levodopa carbidopa for ""50/200"" mg extended relief","Carbidopa and Levodopa, extended release",Appearance
116,how long do the side effects last after taking medroxyprogesterone,Medroxyprogesterone,Time/side effects
117,how is guanfacine classified,Guanfacine,Information
118,hyptotension lexapro?,Lexapro,Side effects
120,how do you take clindamycin,Clindamycin,Usage
121,mix salt and hydromorphone what will happen,Hydromorphone,Interaction
124,what types of insulin for resistance,n/a (Exploration),Information
125,is restoril additive?,Restoril,Information
126,vitamin b strong compound is used for what medical condition?,Vitamin B Compound Strong tablets,Indication
130,what does spironolactone 25 mg pill look like,Spironolactone,Appearance
131,what if i eat grapefruit on simvastatin,Simvastatin,Interaction
133,"do i take a statin with or without food ""?""",Statin,Usage
140,pain medication how to use,Pain Medications,Usage
141,freezing clotrimazole?,Clotrimazole,Storage and disposal
142,what does it look like/metoprolol,Metroprolol succinate,Appearance
143,is it ok to take a probiotic when taking an antibiotic?,Antibiotics,Interaction
144,"how to use ivermectin ""derm gard"" for dog",Dermgard,Usage
145,can i take meloxicam along with tylenol + cod?,"Meloxicam, Tylenol and Codeine",Interaction
146,what foods should a person taking warfarin eat,Warfarin,Interaction
147,can i take doxepin and prexum together?,"Doxepin, Prexum",Interaction
148,what tramadol pills look like,Tramadol,Appearance
149,what are contraindications for kadian,Kadian,Contraindication
150,how long is oxycodone expired,Oxycodone,Storage and disposal
151,what is acebutolol hcl blue pill,Acebutolol Hydrochloride,Information
152,drug therapyof gastritis when taking diclofenac sodium,Diclofenac,Side effects
153,who administers succinylcholine?,Succinylcholine,Usage
154,why is vitamin a important to the body,Vitamin A,Indication
155,does benazepril aggravate hepatitis?,Benazepril,Side effects
159,what is insulin and glycogen,"Insulin, Glycogen",Information
161,"amiodarone for ""afib what"" are side effects",Amiodarone,Side effects
162,how to combine dapaliflozin with metformin,"Dapagliflozin, Metformin",Combination
163,why prozac used,Prozac,Indication
164,pill form topamax what does it look like,topamax,Appearance
168,do ursodiol and coconut oil mix?,Urosodiol,Interaction
170,can i drink cataflam when i drink medrol;,"Cataflam, Medrol",Interaction
174,what happens if too much insulin is released into the blood,Insulin,Overdose
175,what type of drug is amphetamine,Amphetamine,Information
176,blood pressure when on eliquis metropropnal,"Eliquis, Metoprolol",Interaction
177,age limits for use of bupropion?,Bupropion,Indication
178,how to self inject enoxaparin sodium,Enoxparin Sodium,Usage
181,what type of drug is heroin,Heroin,Information
182,wetting in pants after penicillin shot?,Penicillin,Side effects
183,how to inject insulin,Insulin,Usage
184,what to do if missed two days of thyroid medications,Thyroid medications,Forget a dose
185,what is a biologic,Biologic,Information
187,what color is 30mg prednisone,Prednisone,Appearance
188,how to use ceftriaxone in malaria,Ceftriaxone,Indication
189,what his acetaminophen and 8mg phosphate codeline,"Acetaminophen, Codeine Phosphate",Combination
190,do i take a statin with or without food ?,Statin,Usage
191,what is aldosterone,Aldosterone,Information
192,"why no side affects on hydromorphone listed, yet on reg inet they have a list?",Hydromorphone,Side effects
195,remipril compatible with cabergoline?,"Ramipril, Cabergoline",Interaction
196,what happens when you take lansoprazole long term,Lansoprazole,Side effects
199,how often should you get a zoster vaccine,Herpes zoster vaccine,Dose/time
200,what insulin can be mixed with glargine,"Glargine, Insulin",Combination
201,what is naproxen used for,Naproxen,Indication
204,what is aldactazide used for,Aldactazide,Indication
206,how to use albuterol oral inhalation demonstration video,Albuterol,Usage
208,why is pyridostigmine prescribed,Pyridostigmine,Indication
210,what is brand name of acetaminophen,"Acetaminophen, Codeine Phosphate",Brand names
214,norvasc and depression?,Norvasc,Side effects
216,how often zoster zoster vaccine needs to be taken,Herpes zoster vaccine,Dose/time
217,what is bioflavonoid,Bioflavonoid,Information
218,what are the symptoms of a human exposed to boric acid powder,Boric Acid Powder,Side effects
223,how long it takes for withdrawals to go away on oxycodone,Oxycodone,Information
225,seniors and premarin?,premarin,Usage
226,can mucinex fast-max products be used with other over-the-counter (otc) or prescription medications?,mucinex fast-max,Interaction
229,what is the side effect of bp medicine on brain?,blood pressure medicine,Side effects
230,qvar 40mcg what is it for,qvar,Indication
231,"fentanyl ""patch,"" what if ""doesn't"" stick well",fentanyl,Usage
232,what size pill is risedronate,risedronate,Appearance
236,hyptotension caused by lexapro?,lexapro,Side effects
238,dydrogesterone tablets 10 mg is for what purpose,dydrogesterone,Indication
241,when is the best tme to take magnesium citrate tab.,magnesium citrate,Usage
242,why did my doctor give me levetiracetam,levetiracetam,Indication
243,hydrochlorothiazide made by unichem is it safe?,hydrochlorothiazide,Side effects
244,how to use spiriva,spiriva,Usage
246,what exactly is butalbital,butalbital,Information
247,testosterone over counter?,testosterone,Information
248,what are beta blockers,beta blockers,Information
249,is viagra a treament for cor pulmonale?,Viagra,Indication
250,is lasix the only diuretic drug for fluid build up in heart failure patients?,Lasix,Indication
251,is lasix the only diuretic drug for fluid build up in heart failure patients?,diuretic drug for fluid build up,Indication
252,what can i do if unusual bruising appears after injecting enoxaparin,enoxaparin,Side effects
254,will anti viral drugs activate my angio edema condition?,antiviral drugs,Side effects
255,what is the length of entecavir treatment,entecavir,Usage/duration
257,are tobacco and nicotine products addictive?,nicotine,Side effects
258,how does sutent affect creatine,Sutent,Side effects
261,how dangerous is cutting nifedipine er cc tablets,nifedipine ER,Usage
264,how to administer insulin,insulin,Usage
267,can spironolactone e used when talking furosemide,spironolactone + furosemide,Interaction
268,how long should i take dutasteride,dutasteride,Usage/duration
271,tudorza pressair is what schedule drug,Tudorza Pressair,Information
272,should metoprolol and lexapro be taken together?,metoprolol + Lexapro,Interaction
273,what shape is the amlodipine pill,amlodipine,Appearance
277,what does memantine look like,memantine,Appearance
278,what does memantine look like,memantine,Appearance
279,what does memantine look like,memantine,Appearance
280,what does memantine look like,memantine,Appearance
281,what happens if your child ate a tylenol tablet,tylenol,Overdose
282,where is heroin originated from,heroin,Information
283,prevnar >65what is this vaccine ?,prevnar,Information
284,what medications contribute to non-alcoholic fatty liver,medications that contribute to non-alcoholic fatty liver,Side effects
286,what is fentanyl,fentanyl,Information
287,what is the reason for having to use heparin after a antibodies fusion,heparin,Indication
290,what drugs case erectile dysfuntion,drugs that cause erectile dysfunction,Side effects
292,it is latanoprost a cholinergic?,latanoprost,Information
294,can i drink voltarel or cataflam when i drink medrol,(Voltaren or Cataflam) and Medrol,Interaction
