Unnamed: 0,Question,Focus (Drug),Question Type,original_drug
0,how does rivatigmine and otc sleep medicine interact,Trimethoprim-sulfamethoxazole,Interaction,rivastigmine
2,what is Clarithromycin,Clarithromycin,Information,morphine
5,what is Amoxicillin used for,Amoxicillin,Indication,desonide ointment
6,how soon can Cefixime be taken after a cocktail?,Cefixime,Interaction,Tylenol
8,Levofloxacin how it works,Levofloxacin,Usage,Breo inhaler
9,Doxycycline 40mg what is it for,Doxycycline,Indication,Qvar
10,does Cefuroxime ophthalmic helps for iritis?,Cefuroxime,Indication,cyclosporine
11,what ingredient in walnut interferes with Azithromycin drug absorption,Azithromycin,Interaction,Synthroid
12,what is the color of the fluvaastatin pill,Cefotaxime,Appearance,fluvastatin
15,how long before a meal should Ciprofloxacin be taken,Ciprofloxacin,Usage,Lansoprazole
16,what does using Nitrofurantoin make your face look like,Nitrofurantoin,Side effects,fluorouracil
17,why did my doctor give me level iracetam,Fosfomycin,Indication,Levetiracetam
18,results of stopping Amoxicillin?,Amoxicillin,Usage,terazosin
19,what Azithromycin look like,Azithromycin,Appearance,meloxicam
20,Levofloxacin how often,Levofloxacin,Usage,nitroglycerin
24,Cefixime when is it safe to take,Cefixime,Interaction,neupro and ropinirole
26,what is Clarithromycin >65,Clarithromycin,Information,prevnar
27,how many mg does it take to overdose on Nitrofurantoin,Nitrofurantoin,Overdose,oxycodone
28,what medication not to take with Cefuroxime,Cefuroxime,Interaction,lithium
29,Ciprofloxacin drug/?,Ciprofloxacin,Information,MST
33,"what is the imprint on metoprolol succ., 50 mg",Trimethoprim-sulfamethoxazole,Appearance,metoprolol succinate
35,how to administer Doxycycline,Doxycycline,Usage,denosumab
36,what is Fosfomycin,Fosfomycin,Information,barbiturates
38,how to prep and administer Cefotaxime,Cefotaxime,Usage,insulin
41,Amoxicillin treat uti?,Amoxicillin,Indication,Levaquin
43,sickness in humans caused Doxycycline on toys from china?,Doxycycline,Side effects,formaldehyde
44,is cyclobenzaprine a benzodiazepine?,Fosfomycin,Information,cyclobenzaprine | benzodiazepine
47,can i eat after taking Cefotaxime?,Cefotaxime,Usage,Rapaflo
51,Cefixime 10 what is all in this pill is it safe,Cefixime,Side effects,Vyvanse
54,what is the class for Azithromycin?,Azithromycin,Information,insulin glargine
56,what is metopol tar use,Cefuroxime,Indication,metoprolol tartrate
57,"does Nitrofurantoin cause i ""insomnia?""",Nitrofurantoin,Side effects,corticosteroids
58,how reduce cholesterol,Clarithromycin,Indication,drugs that reduce cholesterol
59,"when is Levofloxacin ""contra indicated?""",Levofloxacin,Contraindication,Gardasil
60,what is the classification of Ciprofloxacin,Ciprofloxacin,Information,cromolyn
61,"i take Trimethoprim-sulfamethoxazole, my eyes are blurry, if i stop taking it, will my eyes clear up ?",Trimethoprim-sulfamethoxazole,Side effects,lorazepam
62,how to use Levofloxacin,Levofloxacin,Usage,thymol
63,is Cefixime a drug?,Cefixime,Information,zolpidem
64,Ciprofloxacin can be the cause of elevated bun/ creatinine level?,Ciprofloxacin,Side effects,mercaptopurine
65,when does skin redness start on Cefuroxime,Cefuroxime,Side effects,fluorouracil
67,what tier drug is Amoxicillin,Amoxicillin,Information,methylphenidate
68,what is Nitrofurantoin,Nitrofurantoin,Information,normal saline
69,what is Cefotaxime for?- consider waiting for a new vaccine coming spring of 2018,Cefotaxime,Indication,Zostavax
70,what is Trimethoprim-sulfamethoxazole?,Trimethoprim-sulfamethoxazole,Information,Ciprodex
72,why Clarithromycin,Clarithromycin,Indication,codeine
73,how to give Doxycycline,Doxycycline,Usage,Toradol IM
75,can you take these tow medications at the same time of day Azithromycin?,Azithromycin,Interaction,Concerta and Lexapro
77,what happened if one takes a double does of Fosfomycin,Fosfomycin,Overdose,Simvastatin
78,what is antibiotic?,Trimethoprim-sulfamethoxazole,Information,Antibiotics
79,what kind of rash could Nitrofurantoin cause,Nitrofurantoin,Side effects,pravastatin
80,what is Levofloxacin,Levofloxacin,Information,ketorolac eye drops
81,how to take your medicine diabetes,Doxycycline,Usage,diabetes medicine
83,what type of drug is Clarithromycin,Clarithromycin,Information,ecstasy
84,what are the side effects of Amoxicillin,Amoxicillin,Side effects,valsartan
85,Ciprofloxacin capsules how supplied,Ciprofloxacin,Information,Keflex
86,what is nano silver?,Cefuroxime,Information,nanosilver
87,why to take Cefotaxime,Cefotaxime,Indication,Vicodin
88,how is Azithromycin and amphetamine used,Azithromycin,Usage,cocaine
89,how is cocaine and Cefixime used,Cefixime,Usage,amphetamine
96,what three trade names were gven inthis chapter for this generic drug about Fosfomycin,Fosfomycin,Brand names,hydrochlorothiazide
98,"is it safe to add peppermint essential oil in ""mouth wash?""",Cefixime,Side effects,peppermint oil
103,what does the Cefuroxime pill look like,Cefuroxime,Appearance,Clotrimazole
104,how long do opioid withdraws last,Nitrofurantoin,Information,opioids
105,is Cefotaxime chemo.a drug?,Cefotaxime,Information,Herceptin
107,what is magnesium chelated good for,Azithromycin,Indication,Chelated magnesium
115,"what color are the pills for levodopa carbidopa for ""50/200"" mg extended relief",Doxycycline,Appearance,"Carbidopa and Levodopa, extended release"
116,how long do the side effects last after taking Levofloxacin,Levofloxacin,Time/side effects,Medroxyprogesterone
117,how is Clarithromycin classified,Clarithromycin,Information,Guanfacine
118,hyptotension Trimethoprim-sulfamethoxazole?,Trimethoprim-sulfamethoxazole,Side effects,Lexapro
120,how do you take Ciprofloxacin,Ciprofloxacin,Usage,Clindamycin
121,mix salt and Amoxicillin what will happen,Amoxicillin,Interaction,Hydromorphone
124,what types of insulin for resistance,Fosfomycin,Information,n/a (Exploration)
125,is Fosfomycin additive?,Fosfomycin,Information,Restoril
130,what does Doxycycline 25 mg pill look like,Doxycycline,Appearance,Spironolactone
131,what if i eat grapefruit on Azithromycin,Azithromycin,Interaction,Simvastatin
133,"do i take a Trimethoprim-sulfamethoxazole with or without food ""?""",Trimethoprim-sulfamethoxazole,Usage,Statin
140,pain medication how to use,Nitrofurantoin,Usage,Pain Medications
141,freezing Cefuroxime?,Cefuroxime,Storage and disposal,Clotrimazole
142,what does it look like/metoprolol,Ciprofloxacin,Appearance,Metroprolol succinate
143,is it ok to take a probiotic when taking an antibiotic?,Cefotaxime,Interaction,Antibiotics
144,"how to use ivermectin ""derm gard"" for dog",Clarithromycin,Usage,Dermgard
145,can i take meloxicam along with tylenol + cod?,Cefixime,Interaction,"Meloxicam, Tylenol and Codeine"
146,what foods should a person taking Levofloxacin eat,Levofloxacin,Interaction,Warfarin
147,can i take doxepin and prexum together?,Amoxicillin,Interaction,"Doxepin, Prexum"
148,what Doxycycline pills look like,Doxycycline,Appearance,Tramadol
149,what are contraindications for Amoxicillin,Amoxicillin,Contraindication,Kadian
150,how long is Cefotaxime expired,Cefotaxime,Storage and disposal,Oxycodone
151,what is acebutolol hcl blue pill,Nitrofurantoin,Information,Acebutolol Hydrochloride
152,drug therapyof gastritis when taking Cefixime sodium,Cefixime,Side effects,Diclofenac
153,who administers Clarithromycin?,Clarithromycin,Usage,Succinylcholine
155,does Cefuroxime aggravate hepatitis?,Cefuroxime,Side effects,Benazepril
159,what is insulin and glycogen,Ciprofloxacin,Information,"Insulin, Glycogen"
161,"Fosfomycin for ""afib what"" are side effects",Fosfomycin,Side effects,Amiodarone
162,how to combine dapaliflozin with metformin,Azithromycin,Combination,"Dapagliflozin, Metformin"
163,why Trimethoprim-sulfamethoxazole used,Trimethoprim-sulfamethoxazole,Indication,Prozac
164,pill form Levofloxacin what does it look like,Levofloxacin,Appearance,topamax
168,do ursodiol and coconut oil mix?,Trimethoprim-sulfamethoxazole,Interaction,Urosodiol
170,can i drink cataflam when i drink medrol;,Cefotaxime,Interaction,"Cataflam, Medrol"
174,what happens if too much Azithromycin is released into the blood,Azithromycin,Overdose,Insulin
175,what type of drug is Levofloxacin,Levofloxacin,Information,Amphetamine
176,blood pressure when on eliquis metropropnal,Doxycycline,Interaction,"Eliquis, Metoprolol"
177,age limits for use of Clarithromycin?,Clarithromycin,Indication,Bupropion
178,how to self inject enoxaparin sodium,Ciprofloxacin,Usage,Enoxparin Sodium
181,what type of drug is Nitrofurantoin,Nitrofurantoin,Information,Heroin
182,wetting in pants after Cefixime shot?,Cefixime,Side effects,Penicillin
183,how to inject Fosfomycin,Fosfomycin,Usage,Insulin
184,what to do if missed two days of Cefuroxime,Cefuroxime,Forget a dose,Thyroid medications
185,what is a Amoxicillin,Amoxicillin,Information,Biologic
187,what color is 30mg Levofloxacin,Levofloxacin,Appearance,Prednisone
188,how to use Doxycycline in malaria,Doxycycline,Indication,Ceftriaxone
189,what his acetaminophen and 8mg phosphate codeline,Azithromycin,Combination,"Acetaminophen, Codeine Phosphate"
190,do i take a Ciprofloxacin with or without food ?,Ciprofloxacin,Usage,Statin
191,what is Trimethoprim-sulfamethoxazole,Trimethoprim-sulfamethoxazole,Information,Aldosterone
192,"why no side affects on Amoxicillin listed, yet on reg inet they have a list?",Amoxicillin,Side effects,Hydromorphone
195,remipril compatible with cabergoline?,Clarithromycin,Interaction,"Ramipril, Cabergoline"
196,what happens when you take Cefuroxime long term,Cefuroxime,Side effects,Lansoprazole
