Question,Focus (Drug),Question Type,original_drug
how does rivatigmine and otc sleep medicine interact,Trimethoprim-sulfamethoxazole,Interaction,rivastigmine
how does Clarithromycin affect the brain,Clarithromycin,Action,Valium
what is Amoxicillin,Amoxicillin,Information,morphine
what are the milligrams for oxycodone e,Cefixime,Dose,oxycodone ER
81% aspirin contain resin and shellac in it. ?,Levofloxacin,Ingredient,aspirin 81 mg
what is Doxycycline used for,Doxycycline,Indication,desonide ointment
how soon can Cefuroxime be taken after a cocktail?,Cefuroxime,Interaction,Tylenol
Azithromycin how it works,Azithromycin,Action,Breo inhaler
Cefotaxime how it works,Cefotaxime,Usage,Breo inhaler
Ciprofloxacin 40mg what is it for,Ciprofloxacin,Indication,Qvar
does Nitrofurantoin ophthalmic helps for iritis?,Nitrofurantoin,Indication,cyclosporine
what ingredient in walnut interferes with Fosfomycin drug absorption,Fosfomycin,Interaction,Synthroid
what is the color of the fluvaastatin pill,Amoxicillin,Appearance,fluvastatin
"is penicillin in the pill ""Azithromycin?""",Azithromycin,Ingredient,montelukast
"can i take metamucil with ""Ciprofloxacin?""",Ciprofloxacin,Interaction,ciprofloxacin
how long before a meal should Levofloxacin be taken,Levofloxacin,Usage,Lansoprazole
what does using Cefixime make your face look like,Cefixime,Side effects,fluorouracil
why did my doctor give me level iracetam,Clarithromycin,Indication,Levetiracetam
results of stopping Nitrofurantoin?,Nitrofurantoin,Usage,terazosin
what Cefuroxime look like,Cefuroxime,Appearance,meloxicam
Ciprofloxacin how often,Ciprofloxacin,Usage,nitroglycerin
what is the maximum dose of Trimethoprim-sulfamethoxazole,Trimethoprim-sulfamethoxazole,Dose,pregabalin
Doxycycline when is it safe to take,Doxycycline,Interaction,neupro and ropinirole
Fosfomycin when is it safe to take,Fosfomycin,Comparison,neupro and ropinirole
what is Cefotaxime >65,Cefotaxime,Information,prevnar
how many mg does it take to overdose on Amoxicillin,Amoxicillin,Overdose,oxycodone
what medication not to take with Doxycycline,Doxycycline,Interaction,lithium
Fosfomycin drug/?,Fosfomycin,Information,MST
what size doses of Cefotaxime are available?,Cefotaxime,Dose,metformin
"Cefixime s9 orange how many ""grams?""",Cefixime,Dose,pravastatin
how long Azithromycin remains in body,Azithromycin,Action/time,morphine
"what is the imprint on metoprolol succ., 50 mg",Cefuroxime,Appearance,metoprolol succinate
what can take the place of Nitrofurantoin,Nitrofurantoin,Alternatives,tramadol
how to administer Clarithromycin,Clarithromycin,Usage,denosumab
what is Levofloxacin,Levofloxacin,Information,barbiturates
what are the inactive ingredients to the Ciprofloxacin,Ciprofloxacin,Ingredient,pneumonia vaccine
how to prep and administer Trimethoprim-sulfamethoxazole,Trimethoprim-sulfamethoxazole,Usage,insulin
"Levofloxacin "".25mg"" lowest dosage?",Levofloxacin,Dose,clonazepam
Cefixime treat uti?,Cefixime,Indication,Levaquin
sickness in humans caused Ciprofloxacin on toys from china?,Ciprofloxacin,Side effects,formaldehyde
is cyclobenzaprine a benzodiazepine?,Cefuroxime,Information,cyclobenzaprine | benzodiazepine
what drugs contain in Amoxicillin,Amoxicillin,Ingredient,estrone injection
can i eat after taking Nitrofurantoin?,Nitrofurantoin,Usage,Rapaflo
how much Cefotaxime is needed to treat hashimotos,Cefotaxime,Dose,levothyroxine
can i take tea with Azithromycin?,Azithromycin,Interaction,azithromycin
Trimethoprim-sulfamethoxazole 10 what is all in this pill is it safe,Trimethoprim-sulfamethoxazole,Ingredient,Vyvanse
Clarithromycin 10 what is all in this pill is it safe,Clarithromycin,Side effects,Vyvanse
what is a high level of Doxycycline,Doxycycline,not_drug_question,TrOOP
what is in Azithromycin,Azithromycin,Ingredient,Flomax
